,CodigoConvocatoria,CodigoSicAgente,NombreAgenteComprador,FechaPublicacionAviso,PeriodoAContratar,FechaPliegosParaConsulta,FechaPliegosDefinitivos,FechaLimiteRecepcionOfertas,AudienciaPublica,FechaMaximaFormalizacionContratos,Estado,FechaSuspension,FechaReactivacion,FechaCancelacion,FechaCierreConvocatoria,union,tmp,Productos,Cantidad de energía demandada GWh,Cantidad de energía adjudicada GWh,Precio promedio ponderado adjudicado ($/KWh),periodo_inicio,periodo_fin,descripcion
0,CP-EMPC2022-002,EMPC,EMSERPUCAR,02/12/2022,01/02/2023 al 31/12/2026,02/12/2022,14/12/2022,12/01/2023,25/01/2023,15/02/2023,Cerrada y adjudicada,,,,16/02/2023,CP-EMPC2022-002/EMSERPUCAR/EMPC/01%2F02%2F2023/31%2F12%2F2026,1,CP-EMPC2022-002-PROD02,53.72,50.07,318.5,01/02/2023,31/12/2026,CONVOCATORIA PUBLICA PARA EL PERIODO COMPRENDIDO ENTRE EL 01 DE FEBRERO DE 2023 HASTA EL 31 DE DICIEMBRE DE 2026
1,CP-GNCC2022-003,GNCC,VATIA,17/11/2022,01/02/2023 al 31/12/2026,21/11/2022,07/12/2022,05/01/2023,19/01/2023,27/01/2023,Cerrada y adjudicada,,,,31/01/2023,CP-GNCC2022-003/VATIA/GNCC/01%2F02%2F2023/31%2F12%2F2026,1,CP-GNCC2022-003-PROD01,115.0,108.75,276.14,01/02/2023,31/12/2026,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas de la fecha de registro hasta las 24:00 del día 31 de diciembre de 2026.
2,CP-GNCC2022-003,GNCC,VATIA,17/11/2022,01/02/2023 al 31/12/2026,21/11/2022,07/12/2022,05/01/2023,19/01/2023,27/01/2023,Cerrada y adjudicada,,,,31/01/2023,CP-GNCC2022-003/VATIA/GNCC/01%2F02%2F2023/31%2F12%2F2026,1,CP-GNCC2022-003-PROD02,235.6,235.6,281.9,01/02/2023,31/12/2026,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas de la fecha de registro hasta las 24:00 del día 31 de diciembre de 2026.
3,CP-GNCC2022-003,GNCC,VATIA,17/11/2022,01/02/2023 al 31/12/2026,21/11/2022,07/12/2022,05/01/2023,19/01/2023,27/01/2023,Cerrada y adjudicada,,,,31/01/2023,CP-GNCC2022-003/VATIA/GNCC/01%2F02%2F2023/31%2F12%2F2026,1,CP-GNCC2022-003-PROD03,135.55,0.0,0.0,01/02/2023,31/12/2026,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas de la fecha de registro hasta las 24:00 del día 31 de diciembre de 2026.
4,CP-GNCC2022-003,GNCC,VATIA,17/11/2022,01/02/2023 al 31/12/2026,21/11/2022,07/12/2022,05/01/2023,19/01/2023,27/01/2023,Cerrada y adjudicada,,,,31/01/2023,CP-GNCC2022-003/VATIA/GNCC/01%2F02%2F2023/31%2F12%2F2026,1,CP-GNCC2022-003-PROD04,161.42,0.0,0.0,01/02/2023,31/12/2026,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas de la fecha de registro hasta las 24:00 del día 31 de diciembre de 2026.
5,CP-TENC2022-003,TENC,Tenergeticas,09/11/2022,01/02/2023 al 31/12/2033,10/11/2022,21/11/2022,20/12/2022,30/12/2022,23/01/2023,Cerrada y adjudicada,,,,14/02/2023,CP-TENC2022-003/Tenergeticas/TENC/01%2F02%2F2023/31%2F12%2F2026,1,CP-TENC2022-003-PROD01,24.84,0.0,0.0,01/02/2023,31/12/2033,"TRANSACCIONES ENERGETICAS S.A.S. ESP, invita a los interesados a presentar oferta mercantil para el suministro de energía entre el 1 de febrero de 2023 y el 31 de diciembre de 2033, para atender su mercado regulado"
6,CP-TENC2022-003,TENC,Tenergeticas,09/11/2022,01/02/2023 al 31/12/2033,10/11/2022,21/11/2022,20/12/2022,30/12/2022,23/01/2023,Cerrada y adjudicada,,,,14/02/2023,CP-TENC2022-003/Tenergeticas/TENC/01%2F02%2F2023/31%2F12%2F2026,1,CP-TENC2022-003-PROD02,17.57,17.57,288.96,01/02/2023,31/12/2033,"TRANSACCIONES ENERGETICAS S.A.S. ESP, invita a los interesados a presentar oferta mercantil para el suministro de energía entre el 1 de febrero de 2023 y el 31 de diciembre de 2033, para atender su mercado regulado"
7,CP-TENC2022-003,TENC,Tenergeticas,09/11/2022,01/02/2023 al 31/12/2033,10/11/2022,21/11/2022,20/12/2022,30/12/2022,23/01/2023,Cerrada y adjudicada,,,,14/02/2023,CP-TENC2022-003/Tenergeticas/TENC/01%2F02%2F2023/31%2F12%2F2026,1,CP-TENC2022-003-PROD03,67.22,44.8,251.97,01/02/2023,31/12/2033,"TRANSACCIONES ENERGETICAS S.A.S. ESP, invita a los interesados a presentar oferta mercantil para el suministro de energía entre el 1 de febrero de 2023 y el 31 de diciembre de 2033, para atender su mercado regulado"
8,CP-BIAC2022-002,BIAC,BIAE,01/11/2022,01/02/2023 al 31/12/2038,01/11/2022,10/11/2022,12/12/2022,23/12/2022,13/01/2023,Cerrada y adjudicada,,,,17/01/2023,CP-BIAC2022-002/BIAE/BIAC/01%2F02%2F2023/31%2F12%2F2026,1,CP-BIAC2022-002-PROD01,775.0,695.78,262.99,01/02/2023,31/12/2038,"BIA ENERGY S.A.S. ESP., está interesada en recibir ofertas para la compra de energía eléctrica para el período comprendido entre el 01 de febrero del año 2023 al 31 de diciembre del año 2038, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado."
9,CP-BIAC2022-002,BIAC,BIAE,01/11/2022,01/02/2023 al 31/12/2038,01/11/2022,10/11/2022,12/12/2022,23/12/2022,13/01/2023,Cerrada y adjudicada,,,,17/01/2023,CP-BIAC2022-002/BIAE/BIAC/01%2F02%2F2023/31%2F12%2F2026,1,CP-BIAC2022-002-PROD02,225.68,0.0,0.0,01/02/2023,31/12/2038,"BIA ENERGY S.A.S. ESP., está interesada en recibir ofertas para la compra de energía eléctrica para el período comprendido entre el 01 de febrero del año 2023 al 31 de diciembre del año 2038, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado."
